Date,Price,Open,High,Low,Vol.,Change %
"Sep 05, 2019","6,613.20","6,553.00","6,622.80","6,551.00",796.29M,0.92%
"Sep 04, 2019","6,553.00","6,573.40","6,573.40","6,503.90",695.59M,-0.31%
"Sep 03, 2019","6,573.40","6,579.40","6,591.30","6,554.30",479.38M,-0.09%
"Sep 02, 2019","6,579.40","6,604.20","6,604.80","6,558.30",524.96M,-0.38%
"Aug 30, 2019","6,604.20","6,507.40","6,612.10","6,507.40",905.42M,1.49%
"Aug 29, 2019","6,507.40","6,500.60","6,510.90","6,475.50",730.05M,0.10%
"Aug 28, 2019","6,500.60","6,471.20","6,502.00","6,462.00",712.55M,0.45%
"Aug 27, 2019","6,471.20","6,440.10","6,483.10","6,439.20",908.28M,0.48%
"Aug 26, 2019","6,440.10","6,523.10","6,523.10","6,409.80",703.24M,-1.27%
"Aug 23, 2019","6,523.10","6,501.80","6,529.20","6,495.30",643.57M,0.33%
"Aug 22, 2019","6,501.80","6,483.30","6,521.30","6,483.30",631.10M,0.29%
"Aug 21, 2019","6,483.30","6,545.00","6,545.00","6,466.60",675.77M,-0.94%
"Aug 20, 2019","6,545.00","6,467.40","6,545.00","6,467.40",702.63M,1.20%
"Aug 19, 2019","6,467.40","6,405.50","6,468.40","6,405.50",599.77M,0.97%
"Aug 16, 2019","6,405.50","6,408.10","6,425.30","6,396.00",758.26M,-0.04%
"Aug 15, 2019","6,408.10","6,595.90","6,595.90","6,405.60",893.23M,-2.85%
"Aug 14, 2019","6,595.90","6,568.50","6,600.70","6,555.90",754.73M,0.42%
"Aug 13, 2019","6,568.50","6,590.30","6,593.30","6,558.50",695.31M,-0.33%
"Aug 12, 2019","6,590.30","6,584.40","6,590.30","6,555.10",493.34M,0.09%
"Aug 09, 2019","6,584.40","6,568.10","6,592.50","6,562.50",664.70M,0.25%
"Aug 08, 2019","6,568.10","6,519.50","6,568.10","6,462.30",690.77M,0.75%
"Aug 07, 2019","6,519.50","6,478.10","6,530.20","6,467.50",648.54M,0.64%
"Aug 06, 2019","6,478.10","6,640.30","6,640.30","6,444.40",877.70M,-2.44%
